model,provider,num_prompts,avg_tokens_in,avg_tokens_out,total_tokens_in,total_tokens_out,cost_per_1000_prompts_usd,cost_in_total_usd,cost_out_total_usd,cost_total_usd,approx_tokens
openai-gpt-4o,openai,4800,81.60416666666667,82.48104166666667,391700,395909,1.0288208333333335,0.97925,3.95909,4.93834,False
openai-gpt-3.5,openai,4800,81.66666666666667,39.3775,392000,189012,0.20125500000000002,0.588,0.378024,0.966024,False
claude-sonnet-3.7,claude,4800,87.6875,95.42770833333333,420900,458053,1.694478125,1.2627,6.870794999999999,8.133495,False
claude-haiku-3,claude,4800,87.6875,112.23458333333333,420900,538726,0.16221510416666668,0.105225,0.6734075,0.7786325000000001,False
claude-sonnet-4.0,claude,4800,87.6875,129.244375,420900,620373,2.2017281250000003,1.2627,9.305595,10.568295,False
gemini,gemini,4800,62.645833333333336,104.35291666666667,300700,500894,0.600071875,0.375875,2.50447,2.880345,True
